id,vertices_json,status
Zone-6-9,"[[45.160038989170474, 10.788046580031079], [45.160038989170474, 10.78817397781231], [45.16012882069889, 10.78817397781231], [45.16012882069889, 10.788046580031079], [45.160038989170474, 10.788046580031079]]",0
Zone-6-10,"[[45.160038989170474, 10.78817397781231], [45.160038989170474, 10.78830137559354], [45.16012882069889, 10.78830137559354], [45.16012882069889, 10.78817397781231], [45.160038989170474, 10.78817397781231]]",0
Zone-6-11,"[[45.160038989170474, 10.78830137559354], [45.160038989170474, 10.788428773374772], [45.16012882069889, 10.788428773374772], [45.16012882069889, 10.78830137559354], [45.160038989170474, 10.78830137559354]]",0
Zone-6-12,"[[45.16012882069889, 10.788519213799256], [45.16012882069889, 10.788428773374772], [45.160038989170474, 10.788428773374772], [45.160038989170474, 10.788459326113648], [45.16012882069889, 10.788519213799256]]",0
Zone-7-0,"[[45.1602, 10.7869], [45.16012882069889, 10.787022021659055], [45.16012882069889, 10.78702739778123], [45.1602186522273, 10.78702739778123], [45.1602186522273, 10.786920983755708], [45.1602, 10.7869]]",0
Zone-7-1,"[[45.16012882069889, 10.78702739778123], [45.16012882069889, 10.787154795562461], [45.1602186522273, 10.787154795562461], [45.1602186522273, 10.78702739778123], [45.16012882069889, 10.78702739778123]]",0
Zone-7-2,"[[45.16012882069889, 10.787154795562461], [45.16012882069889, 10.787282193343692], [45.1602186522273, 10.787282193343692], [45.1602186522273, 10.787154795562461], [45.16012882069889, 10.787154795562461]]",1
Zone-7-3,"[[45.16012882069889, 10.787282193343692], [45.16012882069889, 10.787409591124923], [45.1602186522273, 10.787409591124923], [45.1602186522273, 10.787282193343692], [45.16012882069889, 10.787282193343692]]",1
Zone-7-4,"[[45.16012882069889, 10.787409591124923], [45.16012882069889, 10.787536988906155], [45.1602186522273, 10.787536988906155], [45.1602186522273, 10.787409591124923], [45.16012882069889, 10.787409591124923]]",0
Zone-7-5,"[[45.16012882069889, 10.787536988906155], [45.16012882069889, 10.787664386687386], [45.1602186522273, 10.787664386687386], [45.1602186522273, 10.787536988906155], [45.16012882069889, 10.787536988906155]]",0
Zone-7-6,"[[45.16012882069889, 10.787664386687386], [45.16012882069889, 10.787791784468617], [45.1602186522273, 10.787791784468617], [45.1602186522273, 10.787664386687386], [45.16012882069889, 10.787664386687386]]",0
Zone-7-7,"[[45.16012882069889, 10.787791784468617], [45.16012882069889, 10.787919182249848], [45.1602186522273, 10.787919182249848], [45.1602186522273, 10.787791784468617], [45.16012882069889, 10.787791784468617]]",0
Zone-7-8,"[[45.16012882069889, 10.787919182249848], [45.16012882069889, 10.788046580031079], [45.1602186522273, 10.788046580031079], [45.1602186522273, 10.787919182249848], [45.16012882069889, 10.787919182249848]]",0
Zone-7-9,"[[45.16012882069889, 10.788046580031079], [45.16012882069889, 10.78817397781231], [45.1602186522273, 10.78817397781231], [45.1602186522273, 10.788046580031079], [45.16012882069889, 10.788046580031079]]",0
Zone-7-10,"[[45.16012882069889, 10.78817397781231], [45.16012882069889, 10.78830137559354], [45.1602186522273, 10.78830137559354], [45.1602186522273, 10.78817397781231], [45.16012882069889, 10.78817397781231]]",0
Zone-7-11,"[[45.16012882069889, 10.78830137559354], [45.16012882069889, 10.788428773374772], [45.1602186522273, 10.788428773374772], [45.1602186522273, 10.78830137559354], [45.16012882069889, 10.78830137559354]]",0
Zone-7-12,"[[45.160184256734006, 10.788556171156003], [45.1602186522273, 10.788556171156003], [45.1602186522273, 10.788428773374772], [45.16012882069889, 10.788428773374772], [45.16012882069889, 10.788519213799256], [45.160184256734006, 10.788556171156003]]",0
Zone-7-13,"[[45.1602186522273, 10.788579101484865], [45.1602186522273, 10.788556171156003], [45.160184256734006, 10.788556171156003], [45.1602186522273, 10.788579101484865]]",0
Zone-8-0,"[[45.1602186522273, 10.786920983755708], [45.1602186522273, 10.78702739778123], [45.160308483755706, 10.78702739778123], [45.160308483755706, 10.787022044225166], [45.1602186522273, 10.786920983755708]]",0
Zone-8-1,"[[45.1602186522273, 10.78702739778123], [45.1602186522273, 10.787154795562461], [45.160308483755706, 10.787154795562461], [45.160308483755706, 10.78702739778123], [45.1602186522273, 10.78702739778123]]",0
Zone-8-2,"[[45.1602186522273, 10.787154795562461], [45.1602186522273, 10.787282193343692], [45.160308483755706, 10.787282193343692], [45.160308483755706, 10.787154795562461], [45.1602186522273, 10.787154795562461]]",1
Zone-8-3,"[[45.1602186522273, 10.787282193343692], [45.1602186522273, 10.787409591124923], [45.160308483755706, 10.787409591124923], [45.160308483755706, 10.787282193343692], [45.1602186522273, 10.787282193343692]]",1
Zone-8-4,"[[45.1602186522273, 10.787409591124923], [45.1602186522273, 10.787536988906155], [45.160308483755706, 10.787536988906155], [45.160308483755706, 10.787409591124923], [45.1602186522273, 10.787409591124923]]",1
Zone-8-5,"[[45.1602186522273, 10.787536988906155], [45.1602186522273, 10.787664386687386], [45.160308483755706, 10.787664386687386], [45.160308483755706, 10.787536988906155], [45.1602186522273, 10.787536988906155]]",0
Zone-8-6,"[[45.1602186522273, 10.787664386687386], [45.1602186522273, 10.787791784468617], [45.160308483755706, 10.787791784468617], [45.160308483755706, 10.787664386687386], [45.1602186522273, 10.787664386687386]]",0
Zone-8-7,"[[45.1602186522273, 10.787791784468617], [45.1602186522273, 10.787919182249848], [45.160308483755706, 10.787919182249848], [45.160308483755706, 10.787791784468617], [45.1602186522273, 10.787791784468617]]",0
Zone-8-8,"[[45.1602186522273, 10.787919182249848], [45.1602186522273, 10.788046580031079], [45.160308483755706, 10.788046580031079], [45.160308483755706, 10.787919182249848], [45.1602186522273, 10.787919182249848]]",0
Zone-8-9,"[[45.1602186522273, 10.788046580031079], [45.1602186522273, 10.78817397781231], [45.160308483755706, 10.78817397781231], [45.160308483755706, 10.788046580031079], [45.1602186522273, 10.788046580031079]]",0
Zone-8-10,"[[45.1602186522273, 10.78817397781231], [45.1602186522273, 10.78830137559354], [45.160308483755706, 10.78830137559354], [45.160308483755706, 10.78817397781231], [45.1602186522273, 10.78817397781231]]",0
Zone-8-11,"[[45.1602186522273, 10.78830137559354], [45.1602186522273, 10.788428773374772], [45.160308483755706, 10.788428773374772], [45.160308483755706, 10.78830137559354], [45.1602186522273, 10.78830137559354]]",0
Zone-8-12,"[[45.1602186522273, 10.788428773374772], [45.1602186522273, 10.788556171156003], [45.160308483755706, 10.788556171156003], [45.160308483755706, 10.788428773374772], [45.1602186522273, 10.788428773374772]]",0
Zone-8-13,"[[45.160308483755706, 10.788638989170469], [45.160308483755706, 10.788556171156003], [45.1602186522273, 10.788556171156003], [45.1602186522273, 10.788579101484865], [45.160308483755706, 10.788638989170469]]",0
Zone-9-1,"[[45.160313242472206, 10.78702739778123], [45.160308483755706, 10.78702739778123], [45.160308483755706, 10.787154795562461], [45.16039831528412, 10.787154795562461], [45.16039831528412, 10.787123104694631], [45.160313242472206, 10.78702739778123]]",0
Zone-9-2,"[[45.160308483755706, 10.787154795562461], [45.160308483755706, 10.787282193343692], [45.16039831528412, 10.787282193343692], [45.16039831528412, 10.787154795562461], [45.160308483755706, 10.787154795562461]]",1
Zone-9-3,"[[45.160308483755706, 10.787282193343692], [45.160308483755706, 10.787409591124923], [45.16039831528412, 10.787409591124923], [45.16039831528412, 10.787282193343692], [45.160308483755706, 10.787282193343692]]",1
Zone-9-4,"[[45.160308483755706, 10.787409591124923], [45.160308483755706, 10.787536988906155], [45.16039831528412, 10.787536988906155], [45.16039831528412, 10.787409591124923], [45.160308483755706, 10.787409591124923]]",1
Zone-9-5,"[[45.160308483755706, 10.787536988906155], [45.160308483755706, 10.787664386687386], [45.16039831528412, 10.787664386687386], [45.16039831528412, 10.787536988906155], [45.160308483755706, 10.787536988906155]]",0
Zone-9-6,"[[45.160308483755706, 10.787664386687386], [45.160308483755706, 10.787791784468617], [45.16039831528412, 10.787791784468617], [45.16039831528412, 10.787664386687386], [45.160308483755706, 10.787664386687386]]",0
Zone-9-7,"[[45.160308483755706, 10.787791784468617], [45.160308483755706, 10.787919182249848], [45.16039831528412, 10.787919182249848], [45.16039831528412, 10.787791784468617], [45.160308483755706, 10.787791784468617]]",0
Zone-9-8,"[[45.160308483755706, 10.787919182249848], [45.160308483755706, 10.788046580031079], [45.16039831528412, 10.788046580031079], [45.16039831528412, 10.787919182249848], [45.160308483755706, 10.787919182249848]]",0
Zone-9-9,"[[45.160308483755706, 10.788046580031079], [45.160308483755706, 10.78817397781231], [45.16039831528412, 10.78817397781231], [45.16039831528412, 10.788046580031079], [45.160308483755706, 10.788046580031079]]",0
Zone-9-10,"[[45.160308483755706, 10.78817397781231], [45.160308483755706, 10.78830137559354], [45.16039831528412, 10.78830137559354], [45.16039831528412, 10.78817397781231], [45.160308483755706, 10.78817397781231]]",0
Zone-9-11,"[[45.160308483755706, 10.78830137559354], [45.160308483755706, 10.788428773374772], [45.16039831528412, 10.788428773374772], [45.16039831528412, 10.78830137559354], [45.160308483755706, 10.78830137559354]]",0
Zone-9-12,"[[45.160308483755706, 10.788428773374772], [45.160308483755706, 10.788556171156003], [45.16039831528412, 10.788556171156003], [45.16039831528412, 10.788428773374772], [45.160308483755706, 10.788428773374772]]",0
Zone-9-13,"[[45.160375353405854, 10.788683568937234], [45.16039831528412, 10.788683568937234], [45.16039831528412, 10.788556171156003], [45.160308483755706, 10.788556171156003], [45.160308483755706, 10.788638989170469], [45.160375353405854, 10.788683568937234]]",0
Zone-9-14,"[[45.16039831528412, 10.788698876856078], [45.16039831528412, 10.788683568937234], [45.160375353405854, 10.788683568937234], [45.16039831528412, 10.788698876856078]]",0
Zone-10-1,"[[45.16039831528412, 10.787123104694631], [45.16039831528412, 10.787154795562461], [45.160426484944416, 10.787154795562461], [45.16039831528412, 10.787123104694631]]",0
Zone-10-2,"[[45.160426484944416, 10.787154795562461], [45.16039831528412, 10.787154795562461], [45.16039831528412, 10.787282193343692], [45.16048814681253, 10.787282193343692], [45.16048814681253, 10.787224165164096], [45.160426484944416, 10.787154795562461]]",0
Zone-10-3,"[[45.16039831528412, 10.787282193343692], [45.16039831528412, 10.787409591124923], [45.16048814681253, 10.787409591124923], [45.16048814681253, 10.787282193343692], [45.16039831528412, 10.787282193343692]]",0
Zone-10-4,"[[45.16039831528412, 10.787409591124923], [45.16039831528412, 10.787536988906155], [45.16048814681253, 10.787536988906155], [45.16048814681253, 10.787409591124923], [45.16039831528412, 10.787409591124923]]",0
Zone-10-5,"[[45.16039831528412, 10.787536988906155], [45.16039831528412, 10.787664386687386], [45.16048814681253, 10.787664386687386], [45.16048814681253, 10.787536988906155], [45.16039831528412, 10.787536988906155]]",0
Zone-10-6,"[[45.16039831528412, 10.787664386687386], [45.16039831528412, 10.787791784468617], [45.16048814681253, 10.787791784468617], [45.16048814681253, 10.787664386687386], [45.16039831528412, 10.787664386687386]]",0
Zone-10-7,"[[45.16039831528412, 10.787791784468617], [45.16039831528412, 10.787919182249848], [45.16048814681253, 10.787919182249848], [45.16048814681253, 10.787791784468617], [45.16039831528412, 10.787791784468617]]",0
Zone-10-8,"[[45.16039831528412, 10.787919182249848], [45.16039831528412, 10.788046580031079], [45.16048814681253, 10.788046580031079], [45.16048814681253, 10.787919182249848], [45.16039831528412, 10.787919182249848]]",0
Zone-10-9,"[[45.16039831528412, 10.788046580031079], [45.16039831528412, 10.78817397781231], [45.16048814681253, 10.78817397781231], [45.16048814681253, 10.788046580031079], [45.16039831528412, 10.788046580031079]]",0
Zone-10-10,"[[45.16039831528412, 10.78817397781231], [45.16039831528412, 10.78830137559354], [45.16048814681253, 10.78830137559354], [45.16048814681253, 10.78817397781231], [45.16039831528412, 10.78817397781231]]",0
Zone-10-11,"[[45.16039831528412, 10.78830137559354], [45.16039831528412, 10.788428773374772], [45.16048814681253, 10.788428773374772], [45.16048814681253, 10.78830137559354], [45.16039831528412, 10.78830137559354]]",0
Zone-10-12,"[[45.16039831528412, 10.788428773374772], [45.16039831528412, 10.788556171156003], [45.16048814681253, 10.788556171156003], [45.16048814681253, 10.788428773374772], [45.16039831528412, 10.788428773374772]]",0
Zone-10-13,"[[45.16048814681253, 10.788567779781205], [45.16048814681253, 10.788556171156003], [45.16039831528412, 10.788556171156003], [45.16039831528412, 10.788683568937234], [45.16041095404184, 10.788683568937234], [45.16048814681253, 10.788567779781205]]",0
Zone-10-14,"[[45.1604, 10.7887], [45.16041095404184, 10.788683568937234], [45.16039831528412, 10.788683568937234], [45.16039831528412, 10.788698876856078], [45.1604, 10.7887]]",0
Zone-11-2,"[[45.16048814681253, 10.787224165164096], [45.16048814681253, 10.787282193343692], [45.16053972741662, 10.787282193343692], [45.16048814681253, 10.787224165164096]]",0
Zone-11-3,"[[45.16053972741662, 10.787282193343692], [45.16048814681253, 10.787282193343692], [45.16048814681253, 10.787409591124923], [45.160577978340946, 10.787409591124923], [45.160577978340946, 10.78732522563356], [45.16053972741662, 10.787282193343692]]",0
Zone-11-4,"[[45.16048814681253, 10.787409591124923], [45.16048814681253, 10.787536988906155], [45.160577978340946, 10.787536988906155], [45.160577978340946, 10.787409591124923], [45.16048814681253, 10.787409591124923]]",0
Zone-11-5,"[[45.16048814681253, 10.787536988906155], [45.16048814681253, 10.787664386687386], [45.160577978340946, 10.787664386687386], [45.160577978340946, 10.787536988906155], [45.16048814681253, 10.787536988906155]]",0
Zone-11-6,"[[45.16048814681253, 10.787664386687386], [45.16048814681253, 10.787791784468617], [45.160577978340946, 10.787791784468617], [45.160577978340946, 10.787664386687386], [45.16048814681253, 10.787664386687386]]",0
Zone-11-7,"[[45.16048814681253, 10.787791784468617], [45.16048814681253, 10.787919182249848], [45.160577978340946, 10.787919182249848], [45.160577978340946, 10.787791784468617], [45.16048814681253, 10.787791784468617]]",0
Zone-11-8,"[[45.16048814681253, 10.787919182249848], [45.16048814681253, 10.788046580031079], [45.160577978340946, 10.788046580031079], [45.160577978340946, 10.787919182249848], [45.16048814681253, 10.787919182249848]]",0
Zone-11-9,"[[45.16048814681253, 10.788046580031079], [45.16048814681253, 10.78817397781231], [45.160577978340946, 10.78817397781231], [45.160577978340946, 10.788046580031079], [45.16048814681253, 10.788046580031079]]",0
Zone-11-10,"[[45.16048814681253, 10.78817397781231], [45.16048814681253, 10.78830137559354], [45.160577978340946, 10.78830137559354], [45.160577978340946, 10.78817397781231], [45.16048814681253, 10.78817397781231]]",0
Zone-11-11,"[[45.16048814681253, 10.78830137559354], [45.16048814681253, 10.788428773374772], [45.160577978340946, 10.788428773374772], [45.160577978340946, 10.78830137559354], [45.16048814681253, 10.78830137559354]]",0
Zone-11-12,"[[45.160577978340946, 10.788433032488586], [45.160577978340946, 10.788428773374772], [45.16048814681253, 10.788428773374772], [45.16048814681253, 10.788556171156003], [45.160495885896, 10.788556171156003], [45.160577978340946, 10.788433032488586]]",0
Zone-12-3,"[[45.160577978340946, 10.78732522563356], [45.160577978340946, 10.787409591124923], [45.16065296988882, 10.787409591124923], [45.160577978340946, 10.78732522563356]]",0
Zone-12-4,"[[45.16065296988882, 10.787409591124923], [45.160577978340946, 10.787409591124923], [45.160577978340946, 10.787536988906155], [45.16066780986936, 10.787536988906155], [45.16066780986936, 10.787426286103027], [45.16065296988882, 10.787409591124923]]",0
Zone-12-5,"[[45.160577978340946, 10.787536988906155], [45.160577978340946, 10.787664386687386], [45.16066780986936, 10.787664386687386], [45.16066780986936, 10.787536988906155], [45.160577978340946, 10.787536988906155]]",0
Zone-12-6,"[[45.160577978340946, 10.787664386687386], [45.160577978340946, 10.787791784468617], [45.16066780986936, 10.787791784468617], [45.16066780986936, 10.787664386687386], [45.160577978340946, 10.787664386687386]]",0
Zone-12-7,"[[45.160577978340946, 10.787791784468617], [45.160577978340946, 10.787919182249848], [45.16066780986936, 10.787919182249848], [45.16066780986936, 10.787791784468617], [45.160577978340946, 10.787791784468617]]",0
Zone-12-8,"[[45.160577978340946, 10.787919182249848], [45.160577978340946, 10.788046580031079], [45.16066780986936, 10.788046580031079], [45.16066780986936, 10.787919182249848], [45.160577978340946, 10.787919182249848]]",0
Zone-12-9,"[[45.160577978340946, 10.788046580031079], [45.160577978340946, 10.78817397781231], [45.16066780986936, 10.78817397781231], [45.16066780986936, 10.788046580031079], [45.160577978340946, 10.788046580031079]]",0
Zone-12-10,"[[45.16066780986936, 10.788298285195966], [45.16066780986936, 10.78817397781231], [45.160577978340946, 10.78817397781231], [45.160577978340946, 10.78830137559354], [45.160665749604306, 10.78830137559354], [45.16066780986936, 10.788298285195966]]",0
Zone-12-11,"[[45.160665749604306, 10.78830137559354], [45.160577978340946, 10.78830137559354], [45.160577978340946, 10.788428773374772], [45.16058081775015, 10.788428773374772], [45.160665749604306, 10.78830137559354]]",0
Zone-13-4,"[[45.16066780986936, 10.787426286103027], [45.16066780986936, 10.787536988906155], [45.160757641397765, 10.787536988906155], [45.160757641397765, 10.787527346572483], [45.16066780986936, 10.787426286103027]]",0
Zone-13-5,"[[45.16066780986936, 10.787536988906155], [45.16066780986936, 10.787664386687386], [45.160757641397765, 10.787664386687386], [45.160757641397765, 10.787536988906155], [45.16066780986936, 10.787536988906155]]",0
Zone-13-6,"[[45.16066780986936, 10.787664386687386], [45.16066780986936, 10.787791784468617], [45.160757641397765, 10.787791784468617], [45.160757641397765, 10.787664386687386], [45.16066780986936, 10.787664386687386]]",0
Zone-13-7,"[[45.16066780986936, 10.787791784468617], [45.16066780986936, 10.787919182249848], [45.160757641397765, 10.787919182249848], [45.160757641397765, 10.787791784468617], [45.16066780986936, 10.787791784468617]]",0
Zone-13-8,"[[45.16066780986936, 10.787919182249848], [45.16066780986936, 10.788046580031079], [45.160757641397765, 10.788046580031079], [45.160757641397765, 10.787919182249848], [45.16066780986936, 10.787919182249848]]",0
